fold,scenario,rank_in_fold,text,score,trigger_1_token,trigger_1_weight,trigger_2_token,trigger_2_weight,trigger_3_token,trigger_3_weight
1,OOD_Class_1,1,find A man needs a maid,12.487689810000063,needs,188.7614288330078,a,80.1651611328125,man,34.40509033203125
1,OOD_Class_1,2,find Some of My Best Friends Are...The Piano Players,10.540048263636319,piano,55.44995880126953,.,51.01890563964844,.,28.175840377807617
1,OOD_Class_1,3,I'd like to see Jack,9.79411407191228,i,9.288625717163086,jack,0.8106389045715332,,0.0
1,OOD_Class_1,4,Find me a showing of The Vanquished that starts nine hours and 1 second from now .,9.210462118786623,showing,39.37583923339844,find,35.850547790527344,starts,34.96270751953125
1,OOD_Class_1,5,add what if punk never happened to autumn,8.631948931359227,add,39.50940704345703,autumn,37.0239143371582,what,34.90106201171875
2,OOD_Class_2,1,"Book The Crown at Whitebrook in the Solomon Islands for Dec. the twenty-third, 2029 .",17.746113082706785,book,223.1622314453125,",",44.22692108154297,brook,38.1363639831543
2,OOD_Class_2,2,Book the Ballylickey House for 7/16/2027 .,14.640430884567033,book,131.90237426757812,house,73.01241302490234,ball,14.943267822265625
2,OOD_Class_2,3,"Please book a coffeehouse restaurant type room to accommodate gretchen, trisha and amber which serves pastelaria dish",14.037780213284318,please,46.10602951049805,accommodate,43.412330627441406,restaurant,31.72738265991211
2,OOD_Class_2,4,"Please book a coffeehouse restaurant type room to accommodate gretchen, trisha and amber which serves pastelaria dish",14.031619194901907,please,46.10602951049805,accommodate,43.412330627441406,restaurant,31.72738265991211
2,OOD_Class_2,5,book in Romania for christian and susana at David Carpenter House,13.983453755186694,and,62.383949279785156,carpenter,35.722415924072266,christian,28.003028869628906
3,OOD_Class_3,1,Is it supposed to hail in Rosenberg in the French Polynesia,17.631009251984544,hail,129.55148315429688,supposed,74.70472717285156,french,58.998291015625
3,OOD_Class_3,2,Will it hail today in West Point at 113648,16.141590700303638,will,229.503662109375,west,35.17909240722656,64,30.973735809326172
3,OOD_Class_3,3,Will it hail in Rush Valley Denmark on 6/21/2035,13.975636862948173,will,151.28480529785156,valley,93.73503112792969,in,41.52971267700195
3,OOD_Class_3,4,Will it hail in 1 second on Riceboro Delaware,13.31652517566997,in,122.4766845703125,hail,117.2327880859375,boro,63.63623809814453
3,OOD_Class_3,5,Wuill it be cloudy in Dickson City Illinois,13.018124182246913,illinois,75.60921478271484,wu,66.51888275146484,it,61.841064453125
4,OOD_Class_4,1,I want to listen to some Saori Atsumi from the twenties on Deezer,7.310752296762735,some,24.04061508178711,at,19.541431427001953,i,19.019926071166992
4,OOD_Class_4,2,I want to listen to Roger Daltrey from the sixties on slacker,6.489589691368511,sixties,27.771183013916016,slack,11.758651733398438,to,10.121763229370117
4,OOD_Class_4,3,where is The Country Bears playing,6.368323866661714,bears,10.596046447753906,country,8.35311508178711,playing,7.688999176025391
4,OOD_Class_4,4,Where is Nichiren to Mōko Daishūrai playing,6.278508522897781,where,17.47166633605957,playing,14.788285255432129,is,7.053590774536133
4,OOD_Class_4,5,Where and when is Polish Economy playing?,6.104330694841526,is,13.437071800231934,economy,9.559696197509766,when,9.282629013061523
5,OOD_Class_5,1,rate What the Dog Saw a two,11.416085705273643,rate,117.192138671875,a,60.908912658691406,two,57.1067008972168
5,OOD_Class_5,2,I want to rate The Obama Syndrome zero of 6,10.158733540219645,syndrome,55.79791259765625,obama,24.0234432220459,zero,21.04330062866211
5,OOD_Class_5,3,I'd rate Glaring Through Oblivion a zero of 6,9.592115887668472,zero,31.060516357421875,rate,29.703392028808594,glaring,19.081235885620117
5,OOD_Class_5,4,I would rate The Door to December 3 points and a best rating of 6,9.467608096589354,door,67.08677673339844,points,26.696470260620117,i,21.183990478515625
5,OOD_Class_5,5,I'd rate Days of Blood and Starlight a 4,8.866340204060409,light,30.93572998046875,i,30.92458724975586,blood,22.142330169677734
6,OOD_Class_6,1,Show The Information A History picture,17.14100540986364,picture,98.11432647705078,a,94.85869598388672,the,70.44903564453125
6,OOD_Class_6,2,Show me the picture Written in the Stars,16.551604386495352,written,178.05911254882812,picture,144.7915496826172,me,79.33416748046875
6,OOD_Class_6,3,show movie The Skeptic – Das teuflische Haus,14.236227302416246,show,155.66761779785156,the,23.84127426147461,–,21.59235191345215
6,OOD_Class_6,4,Can I buy the book Vacation of Petrov and Vasechkin online?,13.373693923756298,online,51.62495422363281,vacation,51.393653869628906,buy,28.92222023010254
6,OOD_Class_6,5,show creativity of The Greatest Movie Ever Sold,13.32125195528431,movie,68.32072448730469,ever,60.775634765625,show,55.801090240478516
7,OOD_Class_7,1,Is The Kiss playing,10.584037614763162,playing,47.643341064453125,kiss,12.98675537109375,is,2.8875064849853516
7,OOD_Class_7,2,when is Red Shirts showing at Dickinson Theatres,10.512419415527614,when,55.87746810913086,shirts,25.844890594482422,theatres,24.633773803710938
7,OOD_Class_7,3,Where is White Bim Black Ear,9.76443710436943,where,89.37890625,bi,22.56147003173828,m,4.661527633666992
7,OOD_Class_7,4,When will the Blonde Ambition be playing,9.481492536338195,the,50.85399627685547,ambition,44.3580207824707,be,5.784613609313965
7,OOD_Class_7,5,where is Puthri playing,9.2944898069151,where,127.72882080078125,playing,62.93247985839844,,0.0
